"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Following\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Home\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 4, 11
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Home\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Profile\Profile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 88, 1, 16, 105
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 197, 0, 6, 33, 236
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\AudioControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\AudioControl.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 103, 10, 23, 136
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Icons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 2, 8, 142
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Img\Category.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Img\Home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Img\f7_music-albums-fill.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Img\ion_radio.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 206, 0, 4, 45, 255
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 117, 34, 35, 186
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Phone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 17, 158
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Phone.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 226, 4, 39, 269
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\Test.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 178, 7, 36, 221
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Test\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 5, 12, 88
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Upload\Upload.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 103, 0, 20, 123
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\pages\Upload\components\UploadZone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 0, 2, 23, 142
